"error","errorText","isin","mvUnitNotional","scenarioDate","scenarioSpecId","tradehubMessageId","type","zeroSimulation"
"false","","NO0010821598","0.10805189201898623","2008-12-08","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10761544631728501","2008-12-09","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10813444177638169","2008-12-10","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10696481430209386","2008-12-11","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10783515050367692","2008-12-12","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10659788971727896","2008-12-15","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10569802675417822","2008-12-16","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10788049556797481","2008-12-17","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10406075181465775","2008-12-18","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10822263106882958","2008-12-19","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10764142635768799","2008-12-22","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10893366903646595","2008-12-23","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.0","2008-12-24","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.1058869328425033","2008-12-29","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10903027615626526","2008-12-30","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.0","2008-12-31","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10948870485847192","2009-01-02","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.11132486514372358","2009-01-05","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.1079986955055191","2009-01-06","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10781274837311743","2009-01-07","dcbb3bfa-eb56-4fee-8bb6-73203ebcb351","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
