"error","errorText","isin","mvUnitNotional","scenarioDate","scenarioSpecId","tradehubMessageId","type","zeroSimulation"
"false","","NO0010821598","0.10788268900175225","","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","true"
"false","","NO0010821598","0.11268272457733598","2008-10-01","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10770782106691902","2008-10-02","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10895755724847862","2008-10-03","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.3082504576950077","2008-10-06","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.21613156187350116","2008-10-07","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","1.7855484841997187","2008-10-08","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10938648496999165","2008-10-09","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10904314884594662","2008-10-10","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10774251865293262","2008-10-13","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.1080103181637622","2008-10-14","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10672930133247369","2008-10-15","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.3089777107427535","2008-10-16","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.16161272374790572","2008-10-17","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.11032019476078095","2008-10-20","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.1303853454969876","2008-10-21","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10741252809149522","2008-10-22","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10704414839628738","2008-10-23","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.11322708048626341","2008-10-24","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.44191041700558265","2008-10-27","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.13503202412697066","2008-10-28","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10785267432369448","2008-10-29","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10835400074346486","2008-10-30","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.11853069052054285","2008-10-31","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.1602227149086802","2008-11-03","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10758405300715829","2008-11-04","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.33266829783999885","2008-11-05","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.107748637288815","2008-11-06","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.41476097021641156","2008-11-07","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10849898314333452","2008-11-10","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.11022159381922735","2008-11-11","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.12300830918839124","2008-11-12","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.11147315614964422","2008-11-13","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.11238752023652336","2008-11-14","ac7f923b-0615-4578-a952-f4f21422cb93","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
